Customer ID,Segment,Signup Date
C183,Enterprise,2024-10-22
C195,SMB,2024-11-08
C92,Enterprise,2024-11-19
C12,SMB,2025-05-10
C73,SMB,2024-04-25
C48,SMB,2024-11-23
C180,SMB,2024-04-22
C78,SMB,2024-09-29
C111,SMB,2024-03-11
C202,SMB,2024-09-20
C25,Enterprise,2024-11-29
C109,Enterprise,2024-01-17
C198,SMB,2024-09-09
C350,Enterprise,2024-01-03
C36,SMB,2024-12-25
C26,SMB,2024-05-12
C324,SMB,2025-03-26
C1,SMB,2024-01-30
C333,Enterprise,2024-08-17
C261,Enterprise,2024-11-29
C319,SMB,2024-07-10
C94,Enterprise,2024-10-07
C376,Enterprise,2024-07-11
C296,SMB,2024-08-01
C291,Enterprise,2024-12-21
C132,SMB,2024-04-17
C288,SMB,2024-08-27
C153,Enterprise,2024-08-06
C104,SMB,2024-08-09
C353,SMB,2024-07-26
C184,SMB,2024-05-12
C332,SMB,2024-05-29
C38,Enterprise,2024-08-26
C257,SMB,2024-06-04
C313,SMB,2025-03-04
C309,Enterprise,2025-01-11
C344,Enterprise,2025-04-03
C156,SMB,2025-02-15
C118,SMB,2025-03-24
C379,Enterprise,2024-03-26
C286,Enterprise,2024-10-08
C194,SMB,2024-12-31
C366,SMB,2025-03-27
C8,Enterprise,2024-01-06
C328,Enterprise,2025-01-19
C165,SMB,2024-06-22
C263,SMB,2024-09-30
C234,Enterprise,2024-11-26
C256,Enterprise,2024-10-22
C237,SMB,2024-05-31
C154,Enterprise,2025-05-02
C378,Enterprise,2024-07-13
C394,Enterprise,2025-04-12
C363,SMB,2025-04-15
C267,SMB,2024-11-28
C232,SMB,2024-02-22
C312,Enterprise,2024-10-07
C337,SMB,2024-01-03
C354,SMB,2024-07-18
C17,SMB,2025-04-21
C80,SMB,2024-04-11
C143,Enterprise,2024-03-12
C282,Enterprise,2024-09-08
C103,SMB,2025-03-10
C301,SMB,2024-07-07
C141,SMB,2024-08-21
C29,SMB,2024-10-18
C359,SMB,2024-12-18
C380,SMB,2024-04-24
C52,SMB,2024-10-08
C9,Enterprise,2024-06-18
C178,SMB,2024-07-31
C269,Enterprise,2025-03-18
C226,Enterprise,2024-11-03
C304,SMB,2024-09-18
C356,Enterprise,2025-03-14
C249,Enterprise,2025-01-15
C158,Enterprise,2024-09-12
C326,SMB,2025-02-23
C352,SMB,2024-03-20
C58,Enterprise,2024-10-23
C39,Enterprise,2024-09-17
C84,SMB,2025-02-15
C281,SMB,2024-01-09
C145,SMB,2024-03-06
C387,Enterprise,2024-01-21
C46,Enterprise,2024-09-15
C236,SMB,2024-06-23
C214,SMB,2025-05-06
C277,Enterprise,2024-03-18
C377,SMB,2024-09-21
C148,SMB,2025-02-09
C388,Enterprise,2024-05-19
C238,SMB,2024-03-05
C93,Enterprise,2024-01-11
C293,SMB,2024-12-27
C131,Enterprise,2024-04-30
C14,SMB,2025-01-04
C41,SMB,2025-02-21
C163,SMB,2024-10-10
C287,SMB,2024-02-01
C120,SMB,2025-01-30
C370,SMB,2024-02-01
C325,Enterprise,2025-04-29
C63,SMB,2024-10-16
C77,SMB,2024-09-22
C19,SMB,2024-08-09
C331,SMB,2024-11-30
C199,SMB,2024-03-07
C330,SMB,2024-11-25
C117,SMB,2024-07-22
C228,Enterprise,2024-05-01
C275,SMB,2024-11-17
C108,SMB,2025-04-27
C241,SMB,2024-07-10
C146,SMB,2024-03-22
C175,Enterprise,2024-05-13
C150,SMB,2024-04-21
C138,SMB,2025-03-19
C258,SMB,2024-06-15
C125,SMB,2024-12-17
C218,Enterprise,2024-02-20
C196,Enterprise,2024-05-22
C381,Enterprise,2024-04-30
C149,SMB,2024-07-28
C66,Enterprise,2025-04-15
C323,SMB,2025-02-04
C316,SMB,2025-01-03
C166,SMB,2024-09-18
C67,Enterprise,2025-01-04
C164,SMB,2025-02-27
C20,SMB,2024-05-04
C382,SMB,2024-12-06
C83,Enterprise,2024-05-04
C155,SMB,2025-01-21
C386,Enterprise,2024-01-23
C389,SMB,2025-01-23
C181,SMB,2024-08-26
C343,SMB,2024-08-13
C152,SMB,2024-12-25
C368,SMB,2024-02-21
C49,SMB,2024-12-18
C271,SMB,2025-04-17
C114,Enterprise,2024-06-26
C32,SMB,2024-11-06
C44,SMB,2025-01-29
C191,Enterprise,2024-01-17
C362,SMB,2025-03-01
C119,Enterprise,2025-04-25
C336,SMB,2025-01-10
C159,SMB,2024-04-25
C124,SMB,2024-10-26
C61,SMB,2025-03-18
C35,Enterprise,2024-05-27
C74,SMB,2024-10-01
C220,Enterprise,2025-03-04
C21,Enterprise,2024-07-29
C399,SMB,2025-03-17
C345,SMB,2024-01-01
C43,SMB,2024-01-13
C112,SMB,2024-02-15
C86,SMB,2024-10-04
C168,SMB,2024-09-29
C279,Enterprise,2024-06-23
C297,Enterprise,2025-04-20
C16,SMB,2025-03-20
C347,SMB,2025-04-11
C248,SMB,2024-09-28
C222,SMB,2024-12-28
C110,Enterprise,2024-09-07
C393,SMB,2025-04-21
C307,SMB,2025-02-07
C147,SMB,2024-07-21
C240,Enterprise,2025-05-10
C82,Enterprise,2025-03-04
C105,SMB,2025-05-06
C56,SMB,2024-03-30
C126,Enterprise,2024-11-16
C245,SMB,2024-03-29
C278,SMB,2024-02-02
C99,Enterprise,2024-02-09
C64,SMB,2024-06-25
C216,Enterprise,2025-04-07
C208,SMB,2025-02-25
C201,SMB,2024-05-02
C265,Enterprise,2024-02-09
C72,SMB,2025-02-02
C335,SMB,2024-01-28
C390,Enterprise,2025-03-11
C186,SMB,2024-08-29
C213,Enterprise,2024-08-28
C298,Enterprise,2024-09-15
C100,Enterprise,2024-07-28
C135,Enterprise,2024-07-03
C217,Enterprise,2024-05-09
C157,Enterprise,2025-05-09
C59,SMB,2024-11-18
C321,Enterprise,2024-08-30
C47,SMB,2025-05-10
C302,Enterprise,2024-01-31
C68,Enterprise,2024-11-25
C322,SMB,2024-08-03
C116,SMB,2024-08-28
C206,SMB,2024-11-20
C10,Enterprise,2024-10-28
C334,SMB,2024-10-27
C266,Enterprise,2024-04-10
C65,SMB,2025-02-18
C367,SMB,2024-03-21
C225,SMB,2024-03-10
C174,SMB,2024-06-29
C209,Enterprise,2024-06-16
C3,SMB,2024-08-25
C133,SMB,2025-03-25
C140,SMB,2024-08-06
C177,SMB,2024-12-18
C87,Enterprise,2024-10-30
C383,Enterprise,2024-09-07
C372,SMB,2024-05-07
C11,SMB,2024-03-18
C171,Enterprise,2025-04-04
C57,SMB,2024-10-22
C320,Enterprise,2025-01-30
C318,Enterprise,2024-12-19
C215,SMB,2024-10-20
C276,SMB,2024-11-06
C211,Enterprise,2024-03-29
C55,SMB,2025-02-14
C375,Enterprise,2025-04-13
C200,Enterprise,2025-02-20
C205,SMB,2025-02-26
C210,SMB,2024-05-01
C338,SMB,2024-11-03
C42,SMB,2025-04-21
C221,Enterprise,2024-12-04
C91,SMB,2024-04-22
C283,Enterprise,2024-05-09
C273,SMB,2025-03-04
C212,Enterprise,2024-11-26
C139,Enterprise,2024-07-21
C315,Enterprise,2024-02-18
C260,SMB,2024-12-26
C305,SMB,2024-01-03
C303,SMB,2024-10-14
C18,SMB,2025-05-02
C15,SMB,2024-06-08
C243,Enterprise,2025-03-09
C115,SMB,2024-01-16
C98,SMB,2024-06-22
C244,Enterprise,2024-09-06
C123,SMB,2025-01-25
C392,SMB,2024-03-25
C28,SMB,2024-05-30
C30,Enterprise,2025-01-27
C272,SMB,2025-02-05
C6,SMB,2024-02-01
C284,SMB,2025-03-31
C219,Enterprise,2024-10-25
C24,SMB,2024-11-25
C70,Enterprise,2024-12-13
C113,SMB,2024-12-23
C34,SMB,2025-02-19
C203,Enterprise,2024-11-10
C274,Enterprise,2024-11-24
C130,SMB,2025-02-26
C246,Enterprise,2024-06-26
C182,SMB,2024-08-26
C255,SMB,2025-01-19
C300,Enterprise,2024-10-14
C329,Enterprise,2024-10-06
C40,SMB,2024-04-06
C169,SMB,2024-01-08
C97,SMB,2024-09-13
C102,SMB,2024-11-11
C107,SMB,2024-06-07
C45,Enterprise,2025-04-20
C51,SMB,2025-04-28
C31,SMB,2024-09-07
C358,SMB,2025-03-08
C170,SMB,2025-02-08
C360,Enterprise,2024-07-11
C88,SMB,2024-11-11
C230,Enterprise,2024-08-20
C351,SMB,2024-09-15
C173,SMB,2024-07-17
C33,SMB,2024-06-11
C299,SMB,2025-01-03
C339,SMB,2024-06-26
C207,SMB,2024-03-18
C193,SMB,2024-12-31
C306,SMB,2024-09-03
C27,SMB,2024-01-29
C250,SMB,2025-01-23
C95,Enterprise,2024-07-09
C79,SMB,2024-10-30
C361,SMB,2024-05-28
C395,SMB,2024-05-25
C295,SMB,2024-10-22
C71,SMB,2025-04-15
C136,Enterprise,2024-12-04
